Replication, Day, Queue Amount
0, 1071, 3901
0, 1072, 3946
0, 1073, 3894
0, 1074, 3926
0, 1075, 3934
0, 1076, 3911
0, 1077, 3880
0, 1078, 3955
0, 1079, 3990
0, 1080, 3946
0, 1081, 3980
0, 1082, 3974
0, 1083, 3959
0, 1084, 3942
0, 1085, 3999
0, 1086, 4024
0, 1087, 3972
0, 1088, 4005
0, 1089, 3972
0, 1090, 3953
0, 1091, 3914
0, 1092, 3971
0, 1093, 4006
0, 1094, 3968
1, 365, 5000
1, 366, 4924
1, 367, 4861
1, 368, 4793
1, 369, 4724
1, 370, 4655
1, 371, 4685
1, 372, 4724
1, 373, 4647
1, 374, 4588
1, 375, 4496
1, 376, 4448
1, 377, 4392
1, 378, 4430
1, 379, 4471
1, 380, 4391
1, 381, 4340
1, 382, 4270
1, 383, 4193
1, 384, 4131
1, 385, 4161
1, 386, 4201
1, 387, 4136
1, 388, 4096
1, 389, 4039
1, 390, 3988
1, 391, 3909
1, 392, 3943
1, 393, 3973
1, 394, 3883
1, 395, 3827
1, 396, 3767
1, 397, 3698
1, 398, 3644
1, 399, 3681
1, 400, 3716
1, 401, 3651
1, 402, 3578
1, 403, 3526
1, 404, 3460
1, 405, 3386
1, 406, 3424
1, 407, 3453
1, 408, 3406
1, 409, 3351
1, 410, 3279
1, 411, 3224
1, 412, 3161
1, 413, 3209
1, 414, 3248
1, 415, 3187
1, 416, 3138
1, 417, 3087
1, 418, 3021
1, 419, 2957
1, 420, 2999
1, 421, 3034
1, 422, 2964
1, 423, 2900
1, 424, 2834
1, 425, 2784
1, 426, 2721
1, 427, 2751
1, 428, 2784
1, 429, 2739
1, 430, 2664
1, 431, 2607
1, 432, 2556
1, 433, 2484
1, 434, 2506
1, 435, 2538
1, 436, 2470
1, 437, 2407
1, 438, 2332
1, 439, 2258
1, 440, 2194
1, 441, 2219
1, 442, 2247
1, 443, 2175
1, 444, 2116
1, 445, 2046
1, 446, 1983
1, 447, 1913
1, 448, 1948
1, 449, 1981
1, 450, 1937
1, 451, 1865
1, 452, 1797
1, 453, 1743
1, 454, 1685
1, 455, 1719
1, 456, 1752
1, 457, 1713
1, 458, 1652
1, 459, 1582
1, 460, 1538
1, 461, 1461
1, 462, 1499
1, 463, 1531
1, 464, 1461
1, 465, 1413
1, 466, 1363
1, 467, 1294
1, 468, 1250
1, 469, 1284
1, 470, 1313
1, 471, 1252
1, 472, 1193
1, 473, 1117
1, 474, 1062
1, 475, 1015
1, 476, 1044
1, 477, 1076
1, 478, 1001
1, 479, 922
1, 480, 861
1, 481, 794
1, 482, 731
1, 483, 773
1, 484, 810
1, 485, 750
1, 486, 691
1, 487, 621
1, 488, 571
1, 489, 520
1, 490, 564
1, 491, 596
1, 492, 548
1, 493, 464
1, 494, 415
1, 495, 359
1, 496, 318
1, 497, 368
1, 498, 403
1, 499, 333
1, 500, 264
1, 501, 205
1, 502, 162
1, 503, 103
1, 504, 142
1, 505, 171
1, 506, 134
1, 507, 71
1, 508, 1
1, 509, 0
1, 510, 0
1, 511, 36
1, 512, 67
1, 513, 0
1, 514, 0
1, 515, 0
1, 516, 1
1, 517, 0
1, 518, 30
1, 519, 57
1, 520, 0
1, 521, 0
1, 522, 0
